lat,lon,temp_c,basement
38.4428,-119.2124,259.2,
43.4564,-113.9956,259.2,
39.3828,-113.0346,259.1,
41.451,-122.7818,259.0,
39.6962,-112.8974,258.9,
43.6444,-112.7601,258.9,
43.7698,-111.6618,258.9,
38.6308,-123.1936,258.9,
37.252,-117.7023,258.9,
33.8678,-106.9942,258.9,
43.2058,-115.643,258.8,
40.1349,-120.1734,258.7,
36.7507,-118.2514,258.7,
42.391,-124.0173,258.7,
36.124,-121.5462,258.6,
40.4482,-123.88,258.4,
38.3801,-119.0751,258.4,
38.1921,-118.3887,258.4,
41.9523,-118.6633,258.4,
33.9932,-106.9942,258.3,
38.8188,-122.2326,258.3,
43.5191,-113.0346,258.3,
37.8161,-118.3887,258.2,
43.5818,-112.0737,258.2,
43.7698,-111.3872,258.2,
44.8979,-110.5635,258.1,
41.3883,-122.3699,257.9,
39.5709,-113.1719,257.8,
39.6962,-118.1141,257.8,
34.0558,-107.1315,257.8,
38.5055,-123.1936,257.7,
41.2003,-121.6835,257.7,
39.6962,-113.7211,257.7,
33.6172,-106.9942,257.7,
39.7589,-112.7601,257.7,
43.8951,-112.2109,257.7,
43.5191,-111.9364,257.7,
43.5818,-111.5245,257.7,
38.8188,-106.0332,257.6,
43.3938,-120.7225,257.6,
39.6335,-118.526,257.6,
43.2058,-113.4465,257.6,
37.4401,-118.6633,257.3,
41.7017,-121.1344,257.2,
42.3284,-123.88,257.1,
44.6472,-111.1127,257.1,
38.3801,-122.6445,257.0,
42.391,-117.7023,257.0,
42.015,-120.448,256.9,
44.2712,-111.6618,256.9,
44.3338,-111.5245,256.9,
44.7099,-110.1517,256.9,
35.8733,-116.604,256.8,
33.9305,-115.9176,256.8,
